airline,date_of_journey,source,destination,dep_time,arrival_time,duration,total_stops,additional_info,price
Indigo,2019-06-24,Bangalore,Delhi,07:10:00,10:05:00,175,0.0,No Info,4823
Multiple Carriers,2019-06-06,Delhi,Cochin,08:00:00,21:00:00,780,1.0,No Info,13587
Jet Airways,2019-05-09,Kolkata,Bangalore,17:00:00,18:00:00,1500,1.0,No Info,10624
Jet Airways,2019-06-24,Delhi,Cochin,02:15:00,19:00:00,1005,1.0,In-flight meal not included,10262
Multiple Carriers,2019-05-15,Delhi,Cochin,03:50:00,19:00:00,910,1.0,No Info,10197
Multiple Carriers,2019-06-01,Delhi,Cochin,11:40:00,19:15:00,455,1.0,No Info,10261
Jet Airways,2019-06-09,Kolkata,Bangalore,21:10:00,04:40:00,450,1.0,No Info,13731
Jet Airways,2019-06-24,Delhi,Cochin,22:50:00,04:25:00,335,1.0,No Info,14714
Vistara,2019-05-18,Kolkata,Bangalore,07:10:00,23:25:00,975,1.0,No Info,9345
Air India,2019-03-01,Mumbai,Hyderabad,13:55:00,15:25:00,90,0.0,No Info,10082
Air Asia,2019-06-12,Delhi,Cochin,20:45:00,07:10:00,625,1.0,No Info,6152
Vistara,2019-05-18,Bangalore,Delhi,19:30:00,22:15:00,165,0.0,No Info,4878
Air India,2019-06-12,Kolkata,Bangalore,20:45:00,23:20:00,155,0.0,No Info,4145
Multiple Carriers,2019-06-27,Delhi,Cochin,15:15:00,01:30:00,615,1.0,In-flight meal not included,5797
Multiple Carriers,2019-06-15,Delhi,Cochin,07:05:00,19:15:00,730,1.0,No Info,16108
Jet Airways,2019-05-27,Bangalore,Delhi,19:50:00,22:50:00,180,0.0,No Info,7229
Spicejet,2019-03-24,Mumbai,Hyderabad,13:10:00,14:30:00,80,0.0,No Info,2753
Air India,2019-06-06,Delhi,Cochin,12:00:00,07:40:00,1180,2.0,No Info,8603
Indigo,2019-05-06,Mumbai,Hyderabad,06:25:00,07:55:00,90,0.0,No Info,4049
Jet Airways,2019-06-12,Delhi,Cochin,14:35:00,12:35:00,1320,2.0,No Info,13376
Jet Airways,2019-05-09,Kolkata,Bangalore,06:30:00,19:50:00,800,1.0,No Info,14781
Indigo,2019-06-27,Mumbai,Hyderabad,12:00:00,13:30:00,90,0.0,No Info,2754
Air India,2019-05-09,Delhi,Cochin,13:15:00,09:25:00,1210,2.0,No Info,9417
Spicejet,2019-05-18,Bangalore,Delhi,21:10:00,00:05:00,175,0.0,No check-in baggage included,3919
Air Asia,2019-04-03,Kolkata,Bangalore,10:20:00,12:55:00,155,0.0,No Info,4107
Jet Airways,2019-05-01,Kolkata,Bangalore,14:05:00,08:15:00,1090,1.0,In-flight meal not included,8586
Jet Airways,2019-03-21,Delhi,Cochin,18:15:00,18:50:00,1475,1.0,No Info,12557
Air India,2019-05-18,Delhi,Cochin,08:00:00,19:15:00,675,1.0,No Info,8879
Air India,2019-05-12,Kolkata,Bangalore,12:00:00,07:55:00,1195,2.0,No Info,10676
Multiple Carriers,2019-05-27,Delhi,Cochin,06:00:00,19:00:00,780,1.0,No Info,11264
Indigo,2019-06-12,Bangalore,Delhi,13:00:00,15:50:00,170,0.0,No Info,3943
Spicejet,2019-04-12,Kolkata,Bangalore,06:55:00,09:30:00,155,0.0,No Info,3873
Indigo,2019-04-21,Kolkata,Bangalore,22:15:00,00:50:00,155,0.0,No Info,4804
Multiple Carriers,2019-06-15,Delhi,Cochin,07:30:00,19:00:00,690,1.0,No Info,10877
Air India,2019-05-24,Kolkata,Bangalore,09:25:00,11:10:00,1545,1.0,No Info,8891
Air India,2019-05-18,Kolkata,Bangalore,09:25:00,17:20:00,1915,2.0,No Info,13616
Air India,2019-06-24,Delhi,Cochin,09:00:00,19:15:00,615,1.0,No Info,9404
Jet Airways,2019-03-24,Kolkata,Bangalore,19:45:00,16:20:00,1235,1.0,In-flight meal not included,10031
Indigo,2019-05-24,Chennai,Kolkata,22:05:00,00:25:00,140,0.0,No Info,5277
Spicejet,2019-06-21,Kolkata,Bangalore,09:00:00,11:25:00,145,0.0,No check-in baggage included,3841
Indigo,2019-04-09,Delhi,Cochin,15:00:00,01:30:00,630,1.0,No Info,6270
Air Asia,2019-04-21,Kolkata,Bangalore,10:20:00,12:55:00,155,0.0,No Info,4409
Spicejet,2019-03-24,Kolkata,Bangalore,09:00:00,11:30:00,150,0.0,No check-in baggage included,5201
Multiple Carriers,2019-03-09,Delhi,Cochin,15:05:00,01:35:00,630,2.0,No Info,34608
Indigo,2019-03-03,Bangalore,New Delhi,22:20:00,01:10:00,170,0.0,No Info,7648
Air India,2019-06-12,Delhi,Cochin,22:00:00,19:15:00,1275,2.0,No Info,10231
Multiple Carriers,2019-06-24,Delhi,Cochin,03:50:00,12:35:00,525,1.0,No Info,12192
Air Asia,2019-06-06,Delhi,Cochin,07:55:00,22:25:00,870,1.0,No Info,8759
Jet Airways,2019-03-27,Delhi,Cochin,05:10:00,19:45:00,2315,2.0,In-flight meal not included,8098
Indigo,2019-06-12,Bangalore,Delhi,23:30:00,02:20:00,170,0.0,No Info,3943
Air India,2019-03-21,Delhi,Cochin,06:10:00,23:00:00,1010,1.0,No Info,5704
Spicejet,2019-06-27,Kolkata,Bangalore,09:00:00,11:25:00,145,0.0,No Info,3873
Air India,2019-05-03,Bangalore,Delhi,13:20:00,16:10:00,170,0.0,No Info,6121
Air India,2019-05-01,Kolkata,Bangalore,09:25:00,07:55:00,1350,1.0,No Info,8366
Jet Airways,2019-06-03,Delhi,Cochin,19:45:00,12:35:00,1010,1.0,No Info,14714
Jet Airways,2019-03-21,Delhi,Cochin,16:10:00,18:50:00,1600,2.0,No Info,13180
Jet Airways,2019-04-01,Delhi,Cochin,16:00:00,12:35:00,1235,1.0,In-flight meal not included,5406
Spicejet,2019-06-06,Kolkata,Bangalore,15:55:00,21:25:00,330,1.0,No Info,8224
Air India,2019-05-21,Kolkata,Bangalore,20:45:00,23:20:00,155,0.0,No Info,4145
Jet Airways,2019-06-24,Delhi,Cochin,19:45:00,04:25:00,520,1.0,In-flight meal not included,10262
Multiple Carriers,2019-05-18,Delhi,Cochin,11:25:00,19:15:00,470,1.0,No Info,7997
Air India,2019-03-15,Bangalore,New Delhi,05:50:00,22:10:00,980,2.0,No Info,10111
Indigo,2019-05-18,Delhi,Cochin,10:35:00,21:00:00,625,1.0,No Info,7503
Multiple Carriers,2019-06-09,Delhi,Cochin,07:05:00,21:00:00,835,1.0,No Info,13587
Indigo,2019-06-09,Bangalore,Delhi,16:55:00,19:45:00,170,0.0,No Info,4823
Indigo,2019-06-24,Delhi,Cochin,02:00:00,07:45:00,345,1.0,No Info,6016
Multiple Carriers,2019-05-27,Delhi,Cochin,17:30:00,01:30:00,480,1.0,In-flight meal not included,7308
Air Asia,2019-05-09,Kolkata,Bangalore,22:40:00,10:40:00,720,1.0,No Info,5192
Indigo,2019-04-01,Mumbai,Hyderabad,09:10:00,10:40:00,90,0.0,No Info,3342
Air India,2019-04-21,Bangalore,Delhi,21:05:00,23:55:00,170,0.0,No Info,5228
Multiple Carriers,2019-06-24,Delhi,Cochin,06:00:00,19:00:00,780,1.0,No Info,12524
Air India,2019-05-01,Kolkata,Bangalore,10:00:00,20:25:00,625,1.0,No Info,10203
Air India,2019-05-06,Kolkata,Bangalore,16:45:00,08:55:00,970,2.0,No Info,13227
Multiple Carriers,2019-06-27,Delhi,Cochin,14:55:00,22:30:00,455,1.0,In-flight meal not included,6093
Jet Airways,2019-06-15,Delhi,Cochin,08:00:00,19:00:00,660,1.0,In-flight meal not included,10262
Air India,2019-03-24,Kolkata,Bangalore,20:45:00,23:20:00,155,0.0,No Info,31945
Indigo,2019-03-27,Delhi,Cochin,04:55:00,12:00:00,425,1.0,No Info,6171
Air Asia,2019-06-03,Bangalore,Delhi,04:55:00,07:45:00,170,0.0,No Info,4282
Spicejet,2019-03-03,Bangalore,New Delhi,20:30:00,23:20:00,170,0.0,No Info,6860
Jet Airways,2019-06-01,Delhi,Cochin,08:00:00,19:00:00,660,1.0,No Info,14714
Jet Airways,2019-06-03,Mumbai,Hyderabad,10:20:00,11:50:00,90,0.0,No Info,8040
Multiple Carriers,2019-03-21,Delhi,Cochin,07:10:00,21:20:00,850,2.0,In-flight meal not included,5935
Jet Airways,2019-05-06,Kolkata,Bangalore,08:25:00,19:50:00,685,1.0,In-flight meal not included,10844
Air India,2019-06-15,Delhi,Cochin,21:00:00,07:40:00,640,1.0,No Info,8372
Jet Airways,2019-06-03,Bangalore,Delhi,17:45:00,20:45:00,180,0.0,No Info,8016
Air Asia,2019-03-09,Kolkata,Bangalore,10:20:00,12:55:00,155,0.0,No Info,4384
Indigo,2019-04-03,Kolkata,Bangalore,09:35:00,12:20:00,165,0.0,No Info,4174
Air India,2019-03-21,Delhi,Cochin,14:10:00,17:10:00,180,0.0,No Info,5674
Indigo,2019-06-09,Kolkata,Bangalore,21:00:00,02:15:00,315,1.0,No Info,6911
Indigo,2019-05-09,Delhi,Cochin,02:00:00,07:25:00,325,1.0,No Info,6582
Multiple Carriers,2019-05-15,Delhi,Cochin,09:00:00,21:00:00,720,1.0,No Info,8073
Air India,2019-03-06,Delhi,Cochin,18:05:00,21:10:00,185,0.0,No Info,7931
Indigo,2019-06-06,Delhi,Cochin,18:35:00,01:30:00,415,1.0,No Info,6628
Jet Airways,2019-06-12,Kolkata,Bangalore,14:05:00,10:05:00,1200,1.0,No Info,13044
Multiple Carriers,2019-06-01,Delhi,Cochin,08:45:00,21:00:00,735,1.0,No Info,7740
Jet Airways,2019-06-06,Kolkata,Bangalore,20:00:00,18:15:00,1335,1.0,In-flight meal not included,10844
Jet Airways,2019-05-18,Delhi,Cochin,23:05:00,04:25:00,1760,2.0,No Info,15129
Spicejet,2019-03-06,Delhi,Cochin,16:35:00,22:50:00,375,1.0,No Info,7185
Air Asia,2019-05-15,Kolkata,Bangalore,07:35:00,23:30:00,955,1.0,No Info,5192
Indigo,2019-05-06,Bangalore,Delhi,18:55:00,21:50:00,175,0.0,No Info,4823
Indigo,2019-04-09,Kolkata,Bangalore,22:15:00,00:50:00,155,0.0,No Info,4174
Indigo,2019-06-06,Delhi,Cochin,07:35:00,16:10:00,515,1.0,No Info,6674
Multiple Carriers,2019-03-01,Delhi,Cochin,19:00:00,01:35:00,395,1.0,No Info,23533
Jet Airways,2019-03-06,Delhi,Cochin,13:00:00,04:25:00,925,1.0,No Info,15764
Indigo,2019-06-09,Kolkata,Bangalore,17:35:00,22:15:00,280,1.0,No Info,5699
Multiple Carriers,2019-06-06,Delhi,Cochin,10:00:00,01:30:00,930,1.0,No Info,13377
Air Asia,2019-03-18,Kolkata,Bangalore,22:50:00,01:20:00,150,0.0,No Info,4082
Jet Airways,2019-06-15,Delhi,Cochin,07:05:00,04:25:00,1280,1.0,In-flight meal not included,10262
Jet Airways,2019-05-27,Mumbai,Hyderabad,10:20:00,11:50:00,90,0.0,In-flight meal not included,4995
Air Asia,2019-04-24,Kolkata,Bangalore,19:55:00,22:25:00,150,0.0,No Info,4107
Air India,2019-06-24,Delhi,Cochin,05:15:00,07:40:00,1585,3.0,No Info,10493
Air India,2019-05-27,Delhi,Cochin,07:00:00,19:15:00,735,1.0,No Info,9929
Jet Airways,2019-03-21,Delhi,Cochin,19:15:00,18:50:00,1415,1.0,No Info,12347
Indigo,2019-06-27,Delhi,Cochin,17:30:00,01:30:00,480,1.0,No Info,5684
Multiple Carriers,2019-05-09,Delhi,Cochin,18:15:00,01:30:00,435,1.0,No Info,15078
Multiple Carriers,2019-05-27,Delhi,Cochin,06:40:00,19:00:00,740,1.0,No Info,9315
Air India,2019-05-09,Mumbai,Hyderabad,19:30:00,20:45:00,75,0.0,No Info,3100
Multiple Carriers,2019-06-03,Delhi,Cochin,10:20:00,01:30:00,910,1.0,No Info,6795
Jet Airways,2019-05-06,Bangalore,Delhi,17:45:00,20:45:00,180,0.0,In-flight meal not included,4030
Jet Airways,2019-05-21,Delhi,Cochin,16:00:00,19:00:00,1620,1.0,No Info,16079
Jet Airways,2019-06-24,Bangalore,Delhi,15:15:00,18:10:00,175,0.0,No Info,8016
Multiple Carriers,2019-05-09,Delhi,Cochin,11:40:00,19:15:00,455,1.0,No Info,8266
Vistara,2019-05-09,Kolkata,Bangalore,17:00:00,23:25:00,385,1.0,No Info,8085
Air India,2019-03-21,Delhi,Cochin,08:00:00,19:15:00,675,1.0,No Info,7199
Air India,2019-06-24,Delhi,Cochin,17:15:00,19:15:00,1560,2.0,No Info,11989
Air India,2019-04-01,Mumbai,Hyderabad,06:20:00,07:40:00,80,0.0,No Info,3100
Air India,2019-03-03,Delhi,Cochin,07:05:00,19:15:00,2170,2.0,No Info,11552
Air India,2019-06-12,Kolkata,Bangalore,12:00:00,07:55:00,1195,2.0,No Info,9416
Jet Airways,2019-04-01,Bangalore,Delhi,18:55:00,22:00:00,185,0.0,In-flight meal not included,4544
Jet Airways,2019-05-01,Kolkata,Bangalore,14:05:00,10:05:00,1200,1.0,No Info,13941
Multiple Carriers,2019-03-03,Delhi,Cochin,02:15:00,11:30:00,555,1.0,No Info,17057
Multiple Carriers,2019-03-06,Delhi,Cochin,09:00:00,15:30:00,390,1.0,No Info,15078
Jet Airways,2019-04-03,Delhi,Cochin,14:00:00,19:00:00,300,1.0,In-flight meal not included,5177
Indigo,2019-05-21,Delhi,Cochin,11:55:00,00:55:00,780,1.0,No Info,6282
Multiple Carriers,2019-03-03,Delhi,Cochin,07:05:00,16:10:00,545,1.0,No Info,7905
Indigo,2019-06-21,Bangalore,Delhi,22:10:00,01:00:00,170,0.0,No Info,3943
Air India,2019-03-01,Bangalore,New Delhi,05:50:00,16:20:00,630,2.0,Change airports,15119
Air India,2019-05-06,Kolkata,Bangalore,09:25:00,05:25:00,1200,2.0,No Info,17732
Multiple Carriers,2019-03-27,Delhi,Cochin,18:15:00,01:35:00,440,1.0,No Info,12327
Air India,2019-05-15,Delhi,Cochin,17:20:00,09:25:00,965,1.0,No Info,7480
Jet Airways,2019-06-06,Delhi,Cochin,21:50:00,04:25:00,395,1.0,No Info,14714
Indigo,2019-03-18,Kolkata,Bangalore,09:35:00,12:20:00,165,0.0,No Info,4462
Spicejet,2019-05-15,Mumbai,Hyderabad,22:45:00,00:15:00,90,0.0,No check-in baggage included,1965
Multiple Carriers,2019-06-15,Delhi,Cochin,04:55:00,12:35:00,460,1.0,No Info,10678
Multiple Carriers,2019-03-27,Delhi,Cochin,10:20:00,01:35:00,915,1.0,No Info,6427
Jet Airways,2019-06-27,Delhi,Cochin,09:25:00,04:25:00,1140,2.0,No Info,13882
Jet Airways,2019-05-27,Delhi,Cochin,19:10:00,12:35:00,1045,2.0,No Info,15129
Jet Airways,2019-05-21,Bangalore,Delhi,15:50:00,18:45:00,175,0.0,In-flight meal not included,3359
Jet Airways,2019-03-27,Delhi,Cochin,19:10:00,04:25:00,555,2.0,No Info,10976
Indigo,2019-06-21,Delhi,Cochin,21:05:00,00:20:00,195,0.0,No Info,5406
Air India,2019-03-06,Bangalore,New Delhi,12:00:00,23:25:00,685,3.0,No Info,14195
Jet Airways,2019-06-15,Delhi,Cochin,07:05:00,12:35:00,330,1.0,No Info,14714
Jet Airways,2019-03-01,Bangalore,New Delhi,05:45:00,16:10:00,625,1.0,No Info,26890
Jet Airways,2019-06-06,Kolkata,Bangalore,20:25:00,18:00:00,1295,1.0,In-flight meal not included,10539
Air India,2019-05-15,Delhi,Cochin,18:05:00,21:10:00,185,0.0,No Info,6094
Air Asia,2019-05-21,Delhi,Cochin,16:45:00,07:10:00,865,1.0,No Info,8327
Jet Airways,2019-06-06,Kolkata,Bangalore,18:55:00,10:05:00,910,1.0,No Info,14571
Indigo,2019-03-01,Kolkata,Bangalore,09:35:00,12:20:00,165,0.0,No Info,6565
Air India,2019-05-24,Kolkata,Bangalore,19:00:00,04:40:00,580,1.0,No Info,6327
Jet Airways,2019-05-06,Kolkata,Bangalore,20:25:00,10:55:00,870,1.0,No Info,13067
Air India,2019-03-03,Bangalore,New Delhi,12:00:00,10:35:00,1355,3.0,No Info,12358
Indigo,2019-05-03,Bangalore,Delhi,20:00:00,22:50:00,170,0.0,No Info,4823
Vistara,2019-05-15,Kolkata,Bangalore,07:10:00,20:20:00,790,1.0,No Info,8610
Jet Airways,2019-06-06,Kolkata,Bangalore,14:05:00,04:40:00,875,1.0,No Info,13059
Jet Airways,2019-06-12,Kolkata,Bangalore,14:05:00,16:20:00,1575,1.0,In-flight meal not included,8529
Indigo,2019-06-09,Delhi,Cochin,11:25:00,21:00:00,575,1.0,No Info,6416
Air India,2019-05-21,Delhi,Cochin,10:00:00,19:15:00,555,1.0,No Info,8372
Multiple Carriers,2019-06-24,Delhi,Cochin,19:00:00,01:30:00,390,1.0,No Info,7198
Jet Airways,2019-03-01,Bangalore,New Delhi,07:00:00,05:05:00,1325,1.0,No Info,26890
Jet Airways,2019-05-01,Bangalore,Delhi,19:50:00,22:50:00,180,0.0,No Info,7229
Air India,2019-06-15,Delhi,Cochin,13:30:00,23:00:00,570,1.0,No Info,8907
Air India,2019-03-06,Mumbai,Hyderabad,05:55:00,22:00:00,965,1.0,No Info,10366
Jet Airways,2019-05-12,Mumbai,Hyderabad,02:55:00,04:20:00,85,0.0,No Info,5678
Multiple Carriers,2019-03-21,Delhi,Cochin,11:40:00,21:00:00,560,1.0,No Info,7215
Indigo,2019-06-12,Bangalore,Delhi,10:10:00,13:00:00,170,0.0,No Info,3943
Indigo,2019-05-21,Kolkata,Bangalore,19:55:00,23:50:00,235,1.0,No Info,4226
Multiple Carriers,2019-06-12,Delhi,Cochin,04:55:00,19:00:00,845,1.0,No Info,10678
Jet Airways,2019-06-27,Delhi,Cochin,07:05:00,12:35:00,330,1.0,In-flight meal not included,10262
Multiple Carriers,2019-06-27,Delhi,Cochin,04:55:00,19:15:00,860,1.0,No Info,7155
Air India,2019-05-12,Mumbai,Hyderabad,19:30:00,20:45:00,75,0.0,No Info,3625
Vistara,2019-05-12,Kolkata,Bangalore,20:20:00,23:25:00,1625,1.0,No Info,8085
Jet Airways,2019-06-01,Delhi,Cochin,19:15:00,19:00:00,1425,1.0,In-flight meal not included,10262
Air India,2019-03-24,Kolkata,Bangalore,07:00:00,08:55:00,1555,1.0,No Info,12173
Indigo,2019-05-09,Kolkata,Bangalore,15:30:00,18:05:00,155,0.0,No Info,4804
Multiple Carriers,2019-05-21,Delhi,Cochin,12:50:00,21:00:00,490,1.0,No Info,7485
Jet Airways,2019-06-15,Delhi,Cochin,19:45:00,19:00:00,1395,1.0,In-flight meal not included,10262
Indigo,2019-05-09,Delhi,Cochin,05:35:00,08:50:00,195,0.0,No Info,5000
Jet Airways,2019-05-21,Kolkata,Bangalore,21:10:00,04:40:00,450,1.0,In-flight meal not included,8586
Indigo,2019-04-06,Bangalore,Delhi,10:10:00,13:00:00,170,0.0,No Info,4423
Jet Airways,2019-03-24,Mumbai,Hyderabad,10:20:00,11:50:00,90,0.0,In-flight meal not included,2759
Spicejet,2019-05-01,Kolkata,Bangalore,06:55:00,09:30:00,155,0.0,No check-in baggage included,3841
Air India,2019-04-18,Delhi,Cochin,18:05:00,21:10:00,185,0.0,No Info,8246
Air India,2019-03-21,Delhi,Cochin,17:15:00,19:15:00,1560,2.0,No Info,8770
Spicejet,2019-03-24,Chennai,Kolkata,08:20:00,10:35:00,135,0.0,No Info,3859
Air India,2019-03-24,Kolkata,Bangalore,20:30:00,23:15:00,1605,1.0,No Info,10808
Jet Airways,2019-05-09,Delhi,Cochin,18:15:00,04:25:00,610,1.0,In-flight meal not included,12373
Spicejet,2019-06-15,Chennai,Kolkata,08:20:00,10:35:00,135,0.0,No Info,3597
Jet Airways,2019-03-01,Bangalore,New Delhi,22:50:00,10:25:00,695,1.0,1 Long layover,31825
Jet Airways,2019-05-21,Delhi,Cochin,18:15:00,19:00:00,1485,1.0,No Info,16079
Jet Airways,2019-05-21,Kolkata,Bangalore,08:25:00,08:15:00,1430,1.0,No Info,13941
Jet Airways,2019-05-24,Mumbai,Hyderabad,07:05:00,08:30:00,85,0.0,In-flight meal not included,4995
Vistara,2019-03-06,Mumbai,Hyderabad,08:45:00,22:55:00,850,1.0,No Info,12395
Air India,2019-05-18,Kolkata,Bangalore,19:00:00,11:05:00,965,1.0,No Info,6327
Multiple Carriers,2019-06-03,Delhi,Cochin,11:40:00,01:30:00,830,1.0,No Info,7530
Multiple Carriers,2019-06-12,Delhi,Cochin,07:10:00,16:10:00,540,1.0,No Info,6513
Jet Airways,2019-05-21,Kolkata,Bangalore,08:25:00,09:20:00,1495,1.0,No Info,14388
Indigo,2019-03-21,Delhi,Cochin,09:10:00,01:35:00,985,1.0,No Info,8765
Multiple Carriers,2019-06-12,Delhi,Cochin,10:00:00,01:30:00,930,1.0,No Info,7198
Spicejet,2019-06-18,Mumbai,Hyderabad,05:45:00,07:15:00,90,0.0,No Info,2753
Indigo,2019-06-21,Chennai,Kolkata,14:45:00,17:05:00,140,0.0,No Info,3597
Jet Airways,2019-06-03,Delhi,Cochin,09:00:00,12:35:00,1655,1.0,In-flight meal not included,10262
Multiple Carriers,2019-03-06,Delhi,Cochin,09:45:00,22:20:00,755,1.0,No Info,10276
