airline,date_of_journey,source,destination,dep_time,arrival_time,duration,total_stops,additional_info,price
Multiple Carriers,2019-05-18,Delhi,Cochin,10:20:00,19:00:00,520,1.0,No Info,9794
Air India,2019-05-18,Kolkata,Bangalore,16:50:00,13:45:00,1255,2.0,No Info,13432
Air India,2019-04-18,Kolkata,Bangalore,14:15:00,16:45:00,150,0.0,No Info,5510
Air India,2019-05-21,Kolkata,Bangalore,14:30:00,23:15:00,525,2.0,No Info,15107
Jet Airways,2019-03-15,Bangalore,New Delhi,05:50:00,12:20:00,390,1.0,No Info,9623
Multiple Carriers,2019-06-12,Delhi,Cochin,08:00:00,21:00:00,780,1.0,No Info,13797
Air India,2019-05-21,Kolkata,Bangalore,08:20:00,18:30:00,610,2.0,No Info,10697
Spicejet,2019-06-06,Mumbai,Hyderabad,22:45:00,00:15:00,90,0.0,No Info,2017
Multiple Carriers,2019-06-09,Delhi,Cochin,08:00:00,19:00:00,660,1.0,No Info,12192
Multiple Carriers,2019-05-15,Delhi,Cochin,13:00:00,21:00:00,480,1.0,No Info,8073
Air India,2019-06-12,Kolkata,Bangalore,14:15:00,16:45:00,150,0.0,No Info,5510
Jet Airways,2019-05-06,Kolkata,Bangalore,17:00:00,18:00:00,1500,1.0,No Info,11467
Jet Airways,2019-05-06,Kolkata,Bangalore,09:35:00,19:10:00,575,1.0,No Info,13067
Indigo,2019-03-27,Delhi,Cochin,08:35:00,21:20:00,765,2.0,No Info,6494
Jet Airways,2019-06-15,Delhi,Cochin,19:15:00,19:00:00,1425,1.0,In-flight meal not included,10262
Air India,2019-06-03,Kolkata,Bangalore,14:15:00,16:45:00,150,0.0,No Info,5510
Air Asia,2019-05-15,Kolkata,Bangalore,19:55:00,22:25:00,150,0.0,No Info,4409
Vistara,2019-04-24,Delhi,Cochin,06:00:00,09:10:00,190,0.0,No Info,6216
Air India,2019-05-15,Kolkata,Bangalore,09:10:00,04:40:00,1170,2.0,No Info,6117
Spicejet,2019-05-21,Mumbai,Hyderabad,22:45:00,00:15:00,90,0.0,No check-in baggage included,1965
Multiple Carriers,2019-03-03,Delhi,Cochin,07:00:00,13:20:00,380,1.0,No Info,15603
Indigo,2019-05-12,Mumbai,Hyderabad,20:05:00,21:40:00,95,0.0,No Info,2227
Air India,2019-03-01,Bangalore,New Delhi,11:50:00,08:55:00,1265,1.0,1 Long layover,14594
Indigo,2019-05-18,Delhi,Cochin,17:10:00,01:30:00,500,1.0,No Info,7081
Indigo,2019-03-12,Mumbai,Hyderabad,06:20:00,07:45:00,85,0.0,No Info,4049
Multiple Carriers,2019-05-18,Delhi,Cochin,07:10:00,16:10:00,540,1.0,No Info,7038
Jet Airways,2019-03-06,Delhi,Cochin,09:55:00,18:50:00,535,1.0,In-flight meal not included,15400
Vistara,2019-03-15,Delhi,Cochin,06:00:00,09:10:00,190,0.0,No Info,6111
Indigo,2019-06-06,Bangalore,Delhi,20:00:00,22:50:00,170,0.0,No Info,4823
Air India,2019-03-01,Kolkata,Bangalore,14:15:00,16:45:00,150,0.0,No Info,6535
Jet Airways,2019-05-21,Delhi,Cochin,09:35:00,12:35:00,1620,2.0,No Info,13559
Indigo,2019-06-01,Bangalore,Delhi,04:00:00,06:50:00,170,0.0,No Info,3943
Jet Airways,2019-06-09,Kolkata,Bangalore,18:55:00,18:15:00,1400,1.0,In-flight meal not included,10844
Indigo,2019-06-27,Mumbai,Hyderabad,16:55:00,18:25:00,90,0.0,No Info,3175
Air India,2019-06-12,Delhi,Cochin,12:20:00,19:15:00,1855,2.0,No Info,12488
Spicejet,2019-05-21,Chennai,Kolkata,17:45:00,20:05:00,140,0.0,No Info,3597
Go Air,2019-05-27,Bangalore,Delhi,20:55:00,23:40:00,165,0.0,No Info,3419
Jet Airways,2019-04-01,Kolkata,Bangalore,16:30:00,20:45:00,1695,1.0,In-flight meal not included,7064
Air India,2019-04-01,Kolkata,Bangalore,19:00:00,09:50:00,890,1.0,No Info,4227
Air India,2019-05-18,Delhi,Cochin,17:20:00,09:25:00,965,1.0,No Info,7690
Spicejet,2019-05-15,Chennai,Kolkata,17:45:00,20:05:00,140,0.0,No check-in baggage included,3543
Multiple Carriers,2019-06-06,Delhi,Cochin,17:50:00,01:30:00,460,2.0,No Info,18275
Spicejet,2019-05-18,Kolkata,Bangalore,11:35:00,18:50:00,435,1.0,No Info,8479
Indigo,2019-04-03,Bangalore,Delhi,16:55:00,19:55:00,180,0.0,No Info,4823
Jet Airways,2019-06-09,Delhi,Cochin,17:30:00,19:00:00,1530,1.0,In-flight meal not included,10262
Air India,2019-04-09,Delhi,Cochin,20:15:00,19:15:00,1380,2.0,No Info,9916
Spicejet,2019-03-15,Chennai,Kolkata,17:45:00,20:05:00,140,0.0,No Info,6300
Jet Airways,2019-03-06,Bangalore,New Delhi,21:25:00,20:20:00,1375,1.0,No Info,17471
Jet Airways,2019-05-01,Kolkata,Bangalore,09:35:00,19:10:00,575,1.0,In-flight meal not included,9314
Multiple Carriers,2019-06-12,Delhi,Cochin,13:05:00,22:30:00,565,1.0,No Info,9646
Jet Airways,2019-06-03,Delhi,Cochin,19:15:00,12:35:00,1040,1.0,No Info,14714
Jet Airways,2019-03-12,Bangalore,New Delhi,18:55:00,13:15:00,1100,1.0,No Info,13817
Air India,2019-06-03,Delhi,Cochin,17:20:00,09:25:00,965,1.0,No Info,7480
Jet Airways,2019-06-12,Kolkata,Bangalore,18:55:00,04:40:00,585,1.0,No Info,12576
Vistara,2019-03-18,Bangalore,New Delhi,16:00:00,18:35:00,155,0.0,No Info,11913
Air India,2019-05-15,Kolkata,Bangalore,19:00:00,11:05:00,965,1.0,No Info,6117
Indigo,2019-04-18,Bangalore,Delhi,13:00:00,15:50:00,170,0.0,No Info,4990
Indigo,2019-06-21,Kolkata,Bangalore,22:15:00,00:50:00,155,0.0,No Info,4804
Spicejet,2019-06-27,Kolkata,Bangalore,17:10:00,19:40:00,150,0.0,No check-in baggage included,3841
Jet Airways,2019-06-09,Kolkata,Bangalore,17:00:00,10:55:00,1075,1.0,No Info,14151
Indigo,2019-05-27,Delhi,Cochin,16:00:00,21:00:00,300,1.0,No Info,5054
Air India,2019-06-18,Kolkata,Bangalore,14:15:00,16:45:00,150,0.0,No Info,5510
Jet Airways,2019-05-21,Kolkata,Bangalore,20:00:00,04:40:00,520,1.0,No Info,14781
Air India,2019-03-09,Delhi,Cochin,16:40:00,19:15:00,1595,2.0,No Info,11911
Air Asia,2019-05-21,Kolkata,Bangalore,22:40:00,10:40:00,720,1.0,No Info,9719
Spicejet,2019-06-15,Mumbai,Hyderabad,22:45:00,00:15:00,90,0.0,No Info,2017
Air India,2019-06-06,Kolkata,Bangalore,12:00:00,13:15:00,1515,1.0,No Info,7662
Indigo,2019-03-24,Bangalore,New Delhi,21:20:00,00:15:00,175,0.0,No Info,6144
Jet Airways,2019-04-03,Bangalore,Delhi,18:55:00,22:00:00,185,0.0,In-flight meal not included,4544
Multiple Carriers,2019-03-27,Delhi,Cochin,09:00:00,15:30:00,390,1.0,No Info,6673
Air India,2019-04-01,Kolkata,Bangalore,16:50:00,18:20:00,1530,2.0,No Info,7893
Jet Airways,2019-05-15,Kolkata,Bangalore,17:00:00,14:25:00,1285,1.0,In-flight meal not included,9314
Multiple Carriers,2019-06-01,Delhi,Cochin,12:50:00,21:00:00,490,1.0,No Info,7005
Jet Airways,2019-06-01,Delhi,Cochin,21:50:00,04:25:00,395,1.0,In-flight meal not included,10262
Indigo,2019-03-24,Kolkata,Bangalore,15:10:00,19:50:00,280,1.0,No Info,7476
Jet Airways,2019-06-12,Kolkata,Bangalore,08:25:00,18:15:00,590,1.0,No Info,13626
Indigo,2019-04-27,Delhi,Cochin,05:05:00,16:10:00,665,1.0,No Info,6171
Indigo,2019-06-01,Delhi,Cochin,11:25:00,01:30:00,845,1.0,No Info,6206
Indigo,2019-05-09,Mumbai,Hyderabad,02:35:00,04:05:00,90,0.0,No Info,2754
Jet Airways,2019-05-06,Mumbai,Hyderabad,19:35:00,21:05:00,90,0.0,No Info,5678
Jet Airways,2019-03-06,Mumbai,Hyderabad,17:00:00,16:50:00,1430,1.0,No Info,19595
Multiple Carriers,2019-06-01,Delhi,Cochin,10:00:00,21:00:00,660,1.0,No Info,13587
Indigo,2019-05-15,Bangalore,Delhi,22:10:00,01:00:00,170,0.0,No Info,3419
Multiple Carriers,2019-03-09,Delhi,Cochin,06:00:00,19:45:00,825,1.0,No Info,13941
Jet Airways,2019-04-01,Kolkata,Bangalore,21:10:00,04:40:00,450,1.0,No Info,13364
Air India,2019-05-18,Kolkata,Bangalore,08:20:00,11:10:00,1610,2.0,No Info,11222
Go Air,2019-03-03,Delhi,Cochin,07:30:00,13:20:00,350,1.0,No Info,6112
Jet Airways,2019-03-01,Bangalore,New Delhi,08:55:00,16:10:00,435,1.0,No Info,26890
Air India,2019-03-03,Delhi,Cochin,19:45:00,19:15:00,1410,2.0,No Info,12856
Jet Airways,2019-05-18,Kolkata,Bangalore,20:25:00,14:25:00,1080,1.0,No Info,13067
Jet Airways,2019-05-24,Kolkata,Bangalore,16:30:00,12:00:00,1170,1.0,In-flight meal not included,10844
Vistara,2019-06-27,Bangalore,Delhi,07:00:00,09:40:00,160,0.0,No Info,4668
Multiple Carriers,2019-03-09,Delhi,Cochin,00:20:00,07:40:00,440,1.0,In-flight meal not included,13977
Spicejet,2019-05-21,Kolkata,Bangalore,06:55:00,09:30:00,155,0.0,No Info,3873
Jet Airways,2019-03-27,Delhi,Cochin,09:00:00,18:50:00,590,1.0,No Info,12032
Vistara,2019-05-24,Chennai,Kolkata,17:45:00,20:05:00,140,0.0,No Info,11982
Multiple Carriers,2019-05-15,Delhi,Cochin,10:35:00,19:15:00,520,1.0,No Info,7575
Multiple Carriers,2019-06-03,Delhi,Cochin,09:15:00,19:15:00,600,1.0,No Info,8099
Jet Airways,2019-03-21,Delhi,Cochin,19:45:00,18:50:00,1385,1.0,In-flight meal not included,5406
Indigo,2019-05-27,Delhi,Cochin,16:00:00,01:30:00,570,1.0,No Info,7048
Jet Airways,2019-06-12,Delhi,Cochin,20:55:00,04:25:00,450,1.0,In-flight meal not included,10262
Air India,2019-06-01,Delhi,Cochin,12:00:00,07:40:00,1180,2.0,No Info,10966
Vistara,2019-05-27,Bangalore,Delhi,07:00:00,09:40:00,160,0.0,No Info,4668
Indigo,2019-06-09,Kolkata,Bangalore,17:15:00,19:50:00,155,0.0,No Info,4804
Indigo,2019-03-03,Bangalore,New Delhi,13:00:00,15:50:00,170,0.0,No Info,7648
Jet Airways,2019-06-24,Delhi,Cochin,18:15:00,19:00:00,1485,1.0,In-flight meal not included,10262
Spicejet,2019-06-18,Bangalore,Delhi,21:10:00,00:05:00,175,0.0,No Info,3971
Air India,2019-06-12,Delhi,Cochin,07:10:00,07:40:00,1470,2.0,No Info,12488
Jet Airways,2019-05-21,Delhi,Cochin,22:50:00,04:25:00,335,1.0,No Info,16079
Air India,2019-06-15,Delhi,Cochin,05:55:00,19:15:00,800,2.0,No Info,12646
Multiple Carriers,2019-06-09,Delhi,Cochin,17:00:00,01:30:00,510,1.0,No Info,7408
Jet Airways,2019-06-24,Bangalore,Delhi,06:00:00,08:45:00,165,0.0,In-flight meal not included,5769
Jet Airways,2019-06-27,Mumbai,Hyderabad,02:55:00,04:20:00,85,0.0,No Info,5678
Multiple Carriers,2019-06-12,Delhi,Cochin,10:00:00,01:30:00,930,1.0,No Info,13377
Indigo,2019-06-12,Chennai,Kolkata,07:55:00,10:15:00,140,0.0,No Info,3850
Jet Airways,2019-03-24,Mumbai,Hyderabad,15:50:00,17:20:00,90,0.0,In-flight meal not included,2228
Vistara,2019-04-15,Delhi,Cochin,06:00:00,09:10:00,190,0.0,No Info,6216
Jet Airways,2019-03-03,Delhi,Cochin,19:15:00,04:25:00,550,1.0,No Info,17234
Jet Airways,2019-04-01,Kolkata,Bangalore,18:55:00,19:50:00,1495,1.0,In-flight meal not included,7064
Air India,2019-06-09,Kolkata,Bangalore,09:25:00,07:55:00,1350,1.0,No Info,8366
Air India,2019-03-09,Delhi,Cochin,06:10:00,23:00:00,1010,1.0,No Info,9064
Air India,2019-03-18,Bangalore,New Delhi,08:50:00,23:25:00,875,2.0,No Info,11728
Air India,2019-06-12,Delhi,Cochin,07:00:00,19:15:00,735,1.0,No Info,8669
Jet Airways,2019-05-03,Bangalore,Delhi,19:50:00,22:50:00,180,0.0,No Info,7229
Air India,2019-05-27,Delhi,Cochin,06:50:00,07:40:00,1490,2.0,No Info,16163
Indigo,2019-03-03,Bangalore,New Delhi,18:25:00,21:20:00,175,0.0,No Info,8855
Jet Airways,2019-05-21,Delhi,Cochin,23:05:00,12:35:00,810,2.0,No Info,15129
Jet Airways,2019-05-15,Kolkata,Bangalore,14:05:00,20:45:00,400,1.0,No Info,14781
Air Asia,2019-05-06,Kolkata,Bangalore,19:55:00,22:25:00,150,0.0,No Info,4409
Jet Airways,2019-06-06,Delhi,Cochin,13:00:00,12:35:00,1415,1.0,In-flight meal not included,11627
Jet Airways,2019-05-18,Kolkata,Bangalore,18:55:00,04:40:00,585,1.0,No Info,13941
Air Asia,2019-04-21,Bangalore,Delhi,23:55:00,02:45:00,170,0.0,No Info,4483
Indigo,2019-05-21,Bangalore,Delhi,20:00:00,22:50:00,170,0.0,No Info,4823
Jet Airways,2019-05-24,Kolkata,Bangalore,20:00:00,22:35:00,1595,1.0,In-flight meal not included,10844
Indigo,2019-06-03,Delhi,Cochin,15:00:00,01:30:00,630,1.0,No Info,6104
Air India,2019-06-06,Kolkata,Bangalore,10:00:00,20:25:00,625,1.0,No Info,10203
Air India,2019-05-01,Bangalore,Delhi,06:10:00,08:55:00,165,0.0,No Info,6121
Jet Airways,2019-04-01,Kolkata,Bangalore,18:55:00,18:15:00,1400,1.0,No Info,12681
Multiple Carriers,2019-06-03,Delhi,Cochin,10:35:00,19:00:00,505,1.0,No Info,10877
Indigo,2019-05-03,Mumbai,Hyderabad,06:25:00,07:55:00,90,0.0,No Info,4049
Multiple Carriers,2019-03-06,Delhi,Cochin,07:05:00,13:20:00,375,1.0,No Info,17267
Vistara,2019-05-03,Bangalore,Delhi,07:00:00,09:40:00,160,0.0,No Info,4668
Air Asia,2019-05-24,Kolkata,Bangalore,06:50:00,10:30:00,220,1.0,No Info,5162
Air Asia,2019-03-01,Kolkata,Bangalore,19:35:00,22:05:00,150,0.0,No Info,5964
Air India,2019-03-12,Bangalore,New Delhi,00:30:00,08:45:00,495,1.0,No Info,13492
Air Asia,2019-04-24,Kolkata,Bangalore,10:20:00,12:55:00,155,0.0,No Info,4409
Indigo,2019-05-18,Delhi,Cochin,16:00:00,21:00:00,300,1.0,No Info,6069
Indigo,2019-05-18,Mumbai,Hyderabad,06:25:00,07:55:00,90,0.0,No Info,4392
Indigo,2019-03-03,Bangalore,New Delhi,13:40:00,18:35:00,295,1.0,No Info,8662
Multiple Carriers,2019-03-03,Delhi,Cochin,07:00:00,21:00:00,840,1.0,No Info,15603
Air Asia,2019-05-15,Kolkata,Bangalore,07:35:00,19:25:00,710,1.0,No Info,5192
Jet Airways,2019-06-01,Delhi,Cochin,19:15:00,12:35:00,1040,1.0,In-flight meal not included,10262
Air India,2019-04-03,Mumbai,Hyderabad,19:30:00,20:45:00,75,0.0,No Info,2050
Air India,2019-05-18,Delhi,Cochin,20:15:00,19:15:00,1380,2.0,No Info,13591
Air India,2019-06-01,Delhi,Cochin,22:00:00,19:15:00,1275,2.0,No Info,10441
Indigo,2019-06-15,Bangalore,Delhi,18:25:00,21:20:00,175,0.0,No Info,4823
Air Asia,2019-05-09,Bangalore,Delhi,04:55:00,07:45:00,170,0.0,No Info,4282
Jet Airways,2019-06-24,Delhi,Cochin,16:00:00,19:00:00,1620,1.0,In-flight meal not included,10262
Indigo,2019-06-24,Delhi,Cochin,23:30:00,04:35:00,305,1.0,No Info,9165
Jet Airways,2019-06-01,Delhi,Cochin,20:55:00,04:25:00,450,1.0,In-flight meal not included,10262
Spicejet,2019-03-09,Mumbai,Hyderabad,05:45:00,07:05:00,80,0.0,No Info,4391
Go Air,2019-06-01,Delhi,Cochin,07:25:00,13:35:00,370,1.0,No Info,6393
Jet Airways,2019-03-21,Delhi,Cochin,15:00:00,04:25:00,805,1.0,No Info,12767
Indigo,2019-06-09,Kolkata,Bangalore,09:20:00,14:15:00,295,1.0,No Info,11465
Jet Airways,2019-04-09,Bangalore,Delhi,15:50:00,18:45:00,175,0.0,In-flight meal not included,4544
Indigo,2019-03-06,Delhi,Cochin,06:40:00,13:20:00,400,1.0,No Info,14871
Air India,2019-06-12,Bangalore,Delhi,13:20:00,16:10:00,170,0.0,No Info,6961
Indigo,2019-03-03,Bangalore,New Delhi,14:25:00,19:25:00,300,1.0,No Info,11873
Jet Airways,2019-03-01,Bangalore,New Delhi,05:45:00,19:10:00,805,1.0,No Info,27992
Indigo,2019-03-06,Delhi,Cochin,02:05:00,07:25:00,320,1.0,No Info,10851
Jet Airways,2019-05-21,Kolkata,Bangalore,21:10:00,09:20:00,730,1.0,No Info,14781
Spicejet,2019-04-15,Kolkata,Bangalore,09:00:00,11:25:00,145,0.0,No Info,4174
Jet Airways,2019-03-06,Bangalore,New Delhi,11:40:00,09:00:00,1280,1.0,No Info,17261
Multiple Carriers,2019-03-27,Delhi,Cochin,06:00:00,21:00:00,900,1.0,No Info,8055
Multiple Carriers,2019-05-15,Delhi,Cochin,08:45:00,21:00:00,735,1.0,No Info,7670
Air India,2019-06-01,Mumbai,Hyderabad,19:30:00,20:45:00,75,0.0,No Info,3100
Spicejet,2019-05-24,Bangalore,Delhi,09:30:00,12:20:00,170,0.0,No Info,3625
Air India,2019-06-24,Delhi,Cochin,07:05:00,09:25:00,1580,2.0,No Info,11185
Jet Airways,2019-03-06,Bangalore,New Delhi,11:40:00,09:30:00,1310,1.0,No Info,17261
Jet Airways,2019-03-27,Delhi,Cochin,19:45:00,19:45:00,1440,1.0,In-flight meal not included,5963
Air India,2019-06-06,Mumbai,Hyderabad,13:55:00,15:25:00,90,0.0,No Info,3625
Jet Airways,2019-05-12,Kolkata,Bangalore,14:05:00,23:35:00,570,1.0,No Info,14781
Jet Airways,2019-06-09,Bangalore,Delhi,19:50:00,22:50:00,180,0.0,In-flight meal not included,7229
Multiple Carriers,2019-06-09,Delhi,Cochin,17:50:00,01:30:00,460,2.0,No Info,18485
Air India,2019-05-18,Delhi,Cochin,09:00:00,07:40:00,1360,1.0,No Info,8372
Air India,2019-03-09,Bangalore,New Delhi,10:30:00,11:20:00,1490,1.0,No Info,10321
Jet Airways,2019-05-15,Kolkata,Bangalore,20:00:00,08:15:00,735,1.0,No Info,13941
Indigo,2019-03-12,Chennai,Kolkata,07:55:00,10:15:00,140,0.0,No Info,6297
Jet Airways,2019-05-18,Kolkata,Bangalore,14:05:00,23:35:00,570,1.0,No Info,14781
Air India,2019-06-21,Bangalore,Delhi,13:20:00,16:10:00,170,0.0,No Info,6961
Jet Airways,2019-05-06,Mumbai,Hyderabad,02:55:00,04:20:00,85,0.0,No Info,5678
Jet Airways,2019-06-01,Delhi,Cochin,22:50:00,12:35:00,825,1.0,No Info,14714
Jet Airways,2019-03-06,Delhi,Cochin,11:30:00,18:50:00,440,1.0,No Info,17024
Air India,2019-05-09,Kolkata,Bangalore,12:00:00,13:15:00,1515,1.0,No Info,6612
Multiple Carriers,2019-05-09,Delhi,Cochin,04:55:00,19:15:00,860,1.0,No Info,7575
Indigo,2019-05-09,Chennai,Kolkata,11:35:00,14:00:00,145,0.0,No Info,4332
Air India,2019-06-03,Bangalore,Delhi,21:05:00,23:55:00,170,0.0,No Info,6961
Jet Airways,2019-04-15,Bangalore,Delhi,17:45:00,20:45:00,180,0.0,No Info,7229
Indigo,2019-06-06,Chennai,Kolkata,11:35:00,14:00:00,145,0.0,No Info,3858
Indigo,2019-06-18,Chennai,Kolkata,14:45:00,17:05:00,140,0.0,No Info,3597
Jet Airways,2019-03-27,Delhi,Cochin,06:20:00,18:50:00,750,2.0,No Info,11538
Jet Airways,2019-05-18,Bangalore,Delhi,06:00:00,08:45:00,165,0.0,No Info,7229
Jet Airways,2019-06-09,Kolkata,Bangalore,18:55:00,19:50:00,1495,1.0,In-flight meal not included,10844
Indigo,2019-06-27,Delhi,Cochin,05:10:00,10:05:00,295,1.0,No Info,6496
Jet Airways,2019-06-18,Bangalore,Delhi,11:10:00,14:05:00,175,0.0,No Info,8016
Jet Airways,2019-04-03,Mumbai,Hyderabad,02:55:00,04:20:00,85,0.0,No Info,5678
Indigo,2019-05-06,Kolkata,Bangalore,15:15:00,17:45:00,150,0.0,No Info,4804
Jet Airways,2019-03-12,Bangalore,New Delhi,22:55:00,12:25:00,810,1.0,No Info,13817
Jet Airways,2019-05-15,Kolkata,Bangalore,16:30:00,10:05:00,1055,1.0,No Info,14781
Vistara,2019-05-18,Kolkata,Bangalore,17:00:00,10:45:00,1065,1.0,No Info,9187
Jet Airways,2019-06-06,Kolkata,Bangalore,16:30:00,23:35:00,425,1.0,No Info,14571
Jet Airways,2019-03-01,Bangalore,New Delhi,08:00:00,18:25:00,625,1.0,No Info,26890
Air India,2019-05-24,Delhi,Cochin,14:10:00,17:10:00,180,0.0,No Info,6934
Jet Airways,2019-06-15,Delhi,Cochin,09:00:00,04:25:00,1165,1.0,In-flight meal not included,10262
Indigo,2019-03-03,Bangalore,New Delhi,06:00:00,08:45:00,165,0.0,No Info,6144
Vistara,2019-06-12,Delhi,Cochin,14:40:00,17:50:00,190,0.0,No Info,6216
